"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units,Neighborhood
001-041-50,,2735 GULLING CT,2009-11-06 00:00:00,250000,2D,03819131,GULLING,2007,2007,Sgl Fam Res ,TWO,1704,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,528,,0,20,SF6 ,0.150573924183846,"HAMZEHLOU, FARSHAD et al",YES,TAVAKOLIAN FARZANEH,2735 GULLING CT ,RENO,NV,89503,"FRY, HARRY C ",001-041-46,GULLING LT 4,1005,1,BCBC
001-041-52,,2720 GULLING CT,2009-04-21 00:00:00,267000,2D,03751320,GULLING,2007,2007,Sgl Fam Res ,TWO,1568,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,484,,0,20,SF6 ,0.167355373501778,"ZUCCO, TODD E ",NO,2720 GULLING CT,,RENO,NV,89503,"FRY, HARRY C ",001-041-46,GULLING LT 6,1005,1,BCBC
001-041-53,, GULLING CT ,2009-07-24 00:00:00,55000,1SVR,03784575,GULLING,0,0,,,0,,0,0,0,,,,,0,,0,12,SF6 ,0.15964187681674957,"JAYME , JOEL G JR ",NO,JOEL G JAYME JR,950 HENRY ORR PKWY #702,SPARKS,NV,89436,"FRY, HARRY C ",001-041-46,GULLING LT 7,1005,0,BCBC
001-052-23,,2937 ANDREA ST,2009-02-18 00:00:00,187000,2D,03730749,SUNRAY,1988,1988,Sgl Fam Res ,SPLIT,1862,FAIR/AVG,4,3,0,FA,HARDBOARD,COMP SHINGLE,GARB,552,,0,20,SF6 ,0.130991742014885,"VARGAS, JOSHUA J & HEATHER J ",NO,2937 ANDREA ST ,,RENO,NV,89503,"MOORE, TAMMY F  et al",,SUNRAY LT 5 BLK A,1005,1,BCAC
001-052-42,,2985 BRYAN ST,2009-06-05 00:00:00,237000,2D,03767845,PM 3032,1997,1997,Sgl Fam Res ,ONE,1655,AVERAGE,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,462,,0,20,SF6 ,0.14400826394558,"FAULSTICH, GAIL L et al",YES,2985 BRYAN ST,,RENO,NV,89503,"WATTERS, JAMES G & MARCIA A ",001-052-36,PM 3032 LT D,1005,1,BCBC
001-072-14,,3455 ROSALINDA DR,2009-05-05 00:00:00,112000,2F,03756681,SIERRA VISTA VILLAS 2,1978,1978,Townhse End,TWO,1272,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.0392102859914303,"LOWE REVOCABLE TRUST, DORIS E ",YES,DORIS LOWE,245 MONTEGO KEY,NOVATO,CA,94949,BANK OF NEW YORK ,,SIERRA VISTA VILLAS OF RENO 2 LT 14 BLK 2,1005,1,BABA
001-073-09,,3390 ROSALINDA DR,2009-12-11 00:00:00,80000,2F,03829564,SIERRA VISTA VILLAS 2,1978,1978,Townhse End,TWO,1482,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.0353535339236259,"STEVENS, CHRISTINE F S  ",NO,3390 ROSALINDA DR ,,RENO,NV,89503,FEDERAL HOME LOAN MTG CORP ,,SIERRA VISTA VILLAS OF RENO 2 LT 9 BLK 3,1005,1,BABA
001-081-31,,3635 SEBASTIAN CIR,2009-12-31 00:00:00,84000,2F,03835465,SIERRA VISTA VILLAS 1,1972,1972,Townhse Ins,TWO,960,FAIR/AVG,2,1,0,FA/AC,HARDBOARD,COMP SHINGLE,GARB,504,,0,21,MF14,0.0363177210092545,"HUSKETT, TERRY K  ",NO,3635 SEBASTIAN CIR ,,RENO,NV,89503,DEUTSCHE BANK NATIONAL TRST CO ,,SIERRA VISTA VILLAS OF RENO UT 1 LT 31 BLK 1,1005,1,BABA
001-083-03,,3670 ROSALINDA DR,2009-09-09 00:00:00,78750,2F,03800109,SIERRA VISTA VILLAS 1,1972,1972,Townhse Ins,TWO,1500,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,21,MF14,0.0427456386387348,"KNOBEL, JAMES C & NEREYDA  ",NO,3670 ROSALINDA DR,,RENO,NV,89503,US BANK NA ,,SIERRA VISTA VILLAS OF RENO 1 LT 3 BLK 3,1005,1,BABA
